parentdn,dn
"ou=Agent,o=unixauthcaashp","cn=AgentSynchroSAS,ou=Agent,o=unixauthcaashp"
"ou=Group,o=unixauthcaashp","cn=Default SMB Group,ou=Group,o=unixauthcaashp"
"ou=Group,o=unixauthcaashp","cn=a00043,ou=Group,o=unixauthcaashp"
"ou=Group,o=unixauthcaashp","cn=a00164,ou=Group,o=unixauthcaashp"
"ou=Group,o=unixauthcaashp","cn=a04437,ou=Group,o=unixauthcaashp"
"ou=Group,o=unixauthcaashp","cn=a04463,ou=Group,o=unixauthcaashp"
"ou=Group,o=unixauthcaashp","cn=a04472,ou=Group,o=unixauthcaashp"
"ou=Group,o=unixauthcaashp","cn=a04502,ou=Group,o=unixauthcaashp"
"ou=Group,o=unixauthcaashp","cn=a04506,ou=Group,o=unixauthcaashp"
"ou=Group,o=unixauthcaashp","cn=a04509,ou=Group,o=unixauthcaashp"
"ou=Group,o=unixauthcaashp","cn=a04559,ou=Group,o=unixauthcaashp"
"ou=Group,o=unixauthcaashp","cn=a04643,ou=Group,o=unixauthcaashp"
"ou=Group,o=unixauthcaashp","cn=a04695,ou=Group,o=unixauthcaashp"
"ou=Group,o=unixauthcaashp","cn=a04696,ou=Group,o=unixauthcaashp"
"ou=Group,o=unixauthcaashp","cn=a04737,ou=Group,o=unixauthcaashp"
"ou=Group,o=unixauthcaashp","cn=a04795,ou=Group,o=unixauthcaashp"
"ou=Group,o=unixauthcaashp","cn=a04864,ou=Group,o=unixauthcaashp"
"ou=Group,o=unixauthcaashp","cn=a04865,ou=Group,o=unixauthcaashp"
"ou=Group,o=unixauthcaashp","cn=a04880,ou=Group,o=unixauthcaashp"
"ou=Group,o=unixauthcaashp","cn=a04896,ou=Group,o=unixauthcaashp"
"ou=Group,o=unixauthcaashp","cn=a04986,ou=Group,o=unixauthcaashp"
"ou=Group,o=unixauthcaashp","cn=a05001,ou=Group,o=unixauthcaashp"
"ou=Group,o=unixauthcaashp","cn=a05005,ou=Group,o=unixauthcaashp"
